"checkpoint","mae_norm","mae_real","mse_norm","mse_real","num_batches","run_name","seed","smoothness_l2_step","study","value","variable"
"ablations_fast\demo_count_50_seed42\best.pt","0.37520312912323894","0.25976648634555294","0.2326054599355249","0.11479442888030819","51","demo_count_50_seed42","42","0.33993009667770535","demo_count","50","train_episode_limit"
"ablations_fast\demo_count_50_seed123\best.pt","0.38004424992729635","0.26630908046282975","0.23668553227303074","0.12161622532442504","51","demo_count_50_seed123","123","0.301816347767325","demo_count","50","train_episode_limit"
"ablations_fast\demo_count_100_seed42\best.pt","0.3638306534757801","0.254205694677783","0.22775698847630443","0.11501129512109008","51","demo_count_100_seed42","42","0.16245519662020252","demo_count","100","train_episode_limit"
"ablations_fast\demo_count_100_seed123\best.pt","0.3583195016664617","0.2513880303093031","0.22727913161118826","0.1154316453372731","51","demo_count_100_seed123","123","0.14633018391973832","demo_count","100","train_episode_limit"
"ablations_fast\demo_count_200_seed42\best.pt","0.3179548832715726","0.22237728448475108","0.18859516098803164","0.09435397561858683","51","demo_count_200_seed42","42","0.1392381740551369","demo_count","200","train_episode_limit"
"ablations_fast\demo_count_200_seed123\best.pt","0.33568450866961014","0.23714047436620675","0.20746683343952776","0.10721432008579665","51","demo_count_200_seed123","123","0.1426109507972119","demo_count","200","train_episode_limit"
"ablations_fast\demo_count_400_seed42\best.pt","0.33879998443173426","0.23749015816286498","0.21286742330766192","0.10670560598373413","51","demo_count_400_seed42","42","0.14098172766320846","demo_count","400","train_episode_limit"
"ablations_fast\demo_count_400_seed123\best.pt","0.3345363473190981","0.23627593558208615","0.2110223530554304","0.10771661091084574","51","demo_count_400_seed123","123","0.1410957627436694","demo_count","400","train_episode_limit"
"ablations_fast\diffusion_steps_20_seed42\best.pt","0.4149592261688382","0.29030950659630345","0.2854036262222365","0.14329512928630792","51","diffusion_steps_20_seed42","42","0.21698844082215252","diffusion_steps","20","diffusion_steps"
"ablations_fast\diffusion_steps_20_seed123\best.pt","0.42192714003955617","0.2952706352168438","0.29389146730011584","0.1474608720517626","51","diffusion_steps_20_seed123","123","0.21681521774507037","diffusion_steps","20","diffusion_steps"
"ablations_fast\diffusion_steps_50_seed42\best.pt","0.37068918113614996","0.2606567573897979","0.24213055156025232","0.12307473666527692","51","diffusion_steps_50_seed42","42","0.1299852420594178","diffusion_steps","50","diffusion_steps"
"ablations_fast\diffusion_steps_50_seed123\best.pt","0.3772059760841669","0.26541367143976924","0.256620633835886","0.13060683713239782","51","diffusion_steps_50_seed123","123","0.12061094434237947","diffusion_steps","50","diffusion_steps"
"ablations_fast\diffusion_steps_100_seed42\best.pt","0.32415654466432686","0.22839706405705096","0.1977943602730246","0.10091390124723024","51","diffusion_steps_100_seed42","42","0.14161455382903418","diffusion_steps","100","diffusion_steps"
"ablations_fast\diffusion_steps_100_seed123\best.pt","0.3121948087332295","0.21987923103220322","0.18204281493729235","0.09314566989447556","51","diffusion_steps_100_seed123","123","0.14263010039633395","diffusion_steps","100","diffusion_steps"
"ablations_fast\diffusion_steps_200_seed42\best.pt","0.25021618633877996","0.175766648469018","0.12830356975980833","0.06533473861568115","51","diffusion_steps_200_seed42","42","0.11865869222902785","diffusion_steps","200","diffusion_steps"
"ablations_fast\diffusion_steps_200_seed123\best.pt","0.26620055063098086","0.1875183000868442","0.14394581040330962","0.07381633099387674","51","diffusion_steps_200_seed123","123","0.12783554839152916","diffusion_steps","200","diffusion_steps"
"ablations_fast\history_1_seed42\best.pt","0.34070442285802627","0.23976287494103113","0.21671146044024714","0.11037742912217423","54","history_1_seed42","42","0.1485879754440652","history","1","history"
"ablations_fast\history_1_seed123\best.pt","0.3312845528125763","0.23224932038121754","0.2038849095503489","0.10234275039423395","54","history_1_seed123","123","0.151207293694218","history","1","history"
"ablations_fast\history_2_seed42\best.pt","0.31704890812343023","0.22298950631663483","0.1894091730410198","0.09681939453167736","53","history_2_seed42","42","0.14027911916656313","history","2","history"
"ablations_fast\history_2_seed123\best.pt","0.3058838110487416","0.2150479609955032","0.17899100250511799","0.09077527823875535","53","history_2_seed123","123","0.1442491225195381","history","2","history"
"ablations_fast\history_4_seed42\best.pt","0.35073012639494505","0.24612042190981845","0.2210232063251383","0.11219670623540878","51","history_4_seed42","42","0.14399219581893846","history","4","history"
"ablations_fast\history_4_seed123\best.pt","0.3751660871739481","0.261530315174776","0.24429414523582832","0.12145197654471677","51","history_4_seed123","123","0.15337415419372857","history","4","history"
"ablations_fast\history_8_seed42\best.pt","0.30759743601083755","0.21747247781604528","0.18629852589219809","0.09559039934538305","48","history_8_seed42","42","0.12554116221144795","history","8","history"
"ablations_fast\history_8_seed123\best.pt","0.31238548302402097","0.22175220493227243","0.1909478511661291","0.09898554619091253","48","history_8_seed123","123","0.12826440126324692","history","8","history"
"ablations_fast\horizon_1_seed42\best.pt","0.19191776608165942","0.13179809194907807","0.08145068540123471","0.04009000855710423","57","horizon_1_seed42","42","NaN","horizon","1","horizon"
"ablations_fast\horizon_1_seed123\best.pt","0.20245715714337534","0.13949117613466164","0.08604848443677551","0.0423751072467942","57","horizon_1_seed123","123","NaN","horizon","1","horizon"
"ablations_fast\horizon_4_seed42\best.pt","0.2554180594506087","0.17838106635544035","0.1213528213125688","0.06086644261247582","54","horizon_4_seed42","42","0.15202687128826423","horizon","4","horizon"
"ablations_fast\horizon_4_seed123\best.pt","0.249277054435677","0.1744531743504383","0.11919460859563616","0.060651757167997186","54","horizon_4_seed123","123","0.13772206463747555","horizon","4","horizon"
"ablations_fast\horizon_8_seed42\best.pt","0.32442375550083086","0.22847683756959206","0.1998213100082734","0.10185515836757772","51","horizon_8_seed42","42","0.14200014285012788","horizon","8","horizon"
"ablations_fast\horizon_8_seed123\best.pt","0.31279898215742674","0.22041638429258384","0.1809634186473547","0.09284053012436512","51","horizon_8_seed123","123","0.1440079692824214","horizon","8","horizon"
"ablations_fast\horizon_16_seed42\best.pt","0.3586883922417959","0.25470438765154946","0.2455500132507748","0.12762415491872364","45","horizon_16_seed42","42","0.09970085471868514","horizon","16","horizon"
"ablations_fast\horizon_16_seed123\best.pt","0.335805156826973","0.23883967730734085","0.21861404710345797","0.1142376167078813","45","horizon_16_seed123","123","0.10401790721548929","horizon","16","horizon"
